bullish_engulfing,bearish_engulfing,hammer,shooting_star,doji,morning_star,evening_star,three_white_soldiers,three_black_crows,harami,piercing_line,dark_cloud_cover,abandoned_baby,moving_averages,bollinger_bands,keltner_channels,donchian_channels,parabolic_sar,rsi,stochastic,macd,williams_r,cci,obv,ad_line,mfi,cmf,vpt,awesome_oscillator,momentum,roc,rvi,atr,bbw,kcw,elder_ray,supertrend,demark,volume_delta,volume_ratio,volume_price_conf,volume_weighted,head_and_shoulders,double_patterns,volume_profile,fibonacci_tools,gann_tools
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,45.00191877759459,,,,,,-230201382.0,193807088.7421989,,,-2607370.46403107,,,,0.4369635704749199,,,,,,,,,,,,,204.08833333333334,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,49.0220804020427,,,,,,-303264679.0,175809441.3572069,,,-4110691.738214925,,,,0.3732343353857304,,,,,,,,,,,,,361582383.0,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,52.96183879400184,,,,,,-202189577.0,112371031.8837524,,,-568785.3964755232,,,,0.09424002484086395,,,,,,,,,,,,,212.09000000000003,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,60.730965242241766,40.55526725480022,,,-44.67194043741271,,-146531296.0,68528475.34185287,25.92370372400768,,-193799.52024670888,,,,0.006043776543614201,7.15714285714286,,,,,,68528475.34185284,0.7045425241054618,,,,,1014605895.0,,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,,,,,68.1893266325521,43.1654676258993,,,-36.435551419264684,,-101045194.0,106239175.29057086,24.234505694243268,,145063.22877471655,,-5.509999999999991,-2.2501735614815987,-0.0009870044415190887,7.371428571428576,,,,,,99798331.09057057,0.8220930595774968,-306654.6792856785,,,,220.0916666666667,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,75.34935356725,42.42867593269935,,,-41.55421126105167,,-176752764.0,150792030.9835345,23.389681732702968,,-202857.5892399965,,-6.210000000000008,-2.540188980242978,0.046456318376407714,7.802857142857148,,,,,,116285564.93922304,0.7686851307131845,-4860178.379285783,,,,1262704231.0,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,82.22297942456001,35.044642857142904,,,-74.66609220163713,,-271616186.0,192476202.95171103,21.89664427621895,,-3547324.7461274215,,-14.73999999999998,-6.026165167620597,0.1575534266764926,8.497142857142862,,,,,,134113602.7407332,0.5449445870758293,-62157982.28642847,,,,228.09333333333336,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,88.82166024757761,32.40758115969227,,,-94.6858029480217,,-326314096.0,173293049.68156898,21.973779945720523,,-5232094.618223483,,-18.75,-7.763010806111042,0.20909230062758338,8.455714285714292,,,,,,74145760.83691318,0.5437859631628288,-78062702.17999996,,,,1960172733.0,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,95.1563938376745,36.65926075540296,,,-91.2723041117145,,-266079334.0,147696459.4870655,28.900297125333196,,-4994162.17114565,,-13.210000000000008,-5.576898720817329,0.1596941070625282,8.018571428571434,,,,,,4602663.8111995645,0.7264133291262325,-59216965.230000004,,,,236.09500000000003,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,101.23773808416752,40.32577591899628,,,-85.25547445255468,,-201952834.0,203233266.6464191,28.621509276611178,0.1869856893028075,-4945420.755604198,,-8.789999999999992,-3.7786948671653304,0.16136295406784784,7.7035714285714345,12.061045269540982,12.608806123119006,,,,45915454.78463749,0.9774921895366657,-42130927.31928564,,,,854494073.0,,
